City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
498,San Rafael,AR,-34.6177,-68.3301,68.95,57,98,5.39,overcast clouds
499,San Luis,AR,-33.295,-66.3356,67.08,61,27,4.88,scattered clouds
500,Sembakung,ID,3.8167,117.25,82.4,78,40,5.75,scattered clouds
501,Sabha,LY,27.0377,14.4283,83.88,10,96,7.52,overcast clouds
502,Watertown,US,42.3709,-71.1828,37.99,87,90,14.97,overcast clouds
503,Kamenka,RU,51.3223,42.7678,53.01,55,71,5.46,light rain
504,Wanaka,NZ,-44.7,169.15,54.0,65,19,1.01,few clouds
505,Bossangoa,CF,6.4926,17.4552,76.82,47,92,5.35,overcast clouds
506,Saint-Louis,SN,16.3333,-15.0,79.57,28,0,14.83,clear sky
507,Rudbar,AF,30.15,62.6,70.14,16,64,4.23,broken clouds
508,Moerai,PF,-22.4333,-151.3333,80.11,78,0,18.01,light rain
509,Riyadh,SA,24.6877,46.7219,75.2,12,0,4.61,clear sky
510,Veselynove,UA,47.3567,31.2349,39.07,89,32,6.62,scattered clouds
511,Saint-Denis,FR,48.9167,2.3333,43.0,81,0,9.22,clear sky
512,Contai,IN,21.7786,87.7536,84.92,63,4,16.11,clear sky
513,Almaznyy,RU,48.0448,40.045,50.0,93,40,4.47,mist
514,Paamiut,GL,61.994,-49.6678,10.53,65,75,13.65,broken clouds
515,Celina,US,40.5489,-84.5702,52.0,64,88,5.01,overcast clouds
516,Morondava,MG,-20.2833,44.2833,72.25,75,95,15.59,overcast clouds
517,Borba,BR,-4.3878,-59.5939,74.97,97,100,2.93,overcast clouds
518,Kupang,ID,-10.1667,123.5833,84.22,66,41,9.13,scattered clouds
519,Trairi,BR,-3.2778,-39.2689,78.19,86,96,7.56,overcast clouds
520,Fort-Shevchenko,KZ,44.5086,50.263,52.16,72,5,3.51,clear sky
521,Bozoum,CF,6.3193,16.3799,76.32,55,100,3.42,overcast clouds
522,Stornoway,GB,58.2093,-6.3865,46.4,81,90,9.22,overcast clouds
523,Shelomi,IL,33.0747,35.1461,66.42,57,14,7.58,few clouds
524,Ugoofaaru,MV,5.6667,73.0,83.12,69,99,2.28,overcast clouds
525,Beaumont,US,30.0861,-94.1019,64.4,94,90,9.22,overcast clouds
526,Palu,ID,-0.8917,119.8707,89.19,57,44,2.21,scattered clouds
527,Turayf,SA,31.6725,38.6637,60.8,36,0,9.22,clear sky
528,Igarka,RU,67.4667,86.5833,-9.62,93,99,2.06,overcast clouds
529,Acarau,BR,-2.8856,-40.12,78.28,87,99,11.65,overcast clouds
530,Winchester,GB,51.0651,-1.3187,36.0,86,7,3.44,clear sky
531,Tinskoy,RU,56.1525,96.9161,30.11,83,100,8.7,light snow
532,Wyndham,US,37.6985,-77.6125,53.6,47,1,3.44,clear sky
533,Nago,JP,26.5881,127.9761,75.2,83,90,12.66,light rain
534,Casablanca,MA,33.5928,-7.6192,64.0,100,40,5.66,scattered clouds
535,Pacifica,US,37.6138,-122.4869,54.0,71,40,20.71,scattered clouds
536,High Level,CA,58.5169,-117.136,55.4,30,75,6.91,broken clouds
537,Comodoro Rivadavia,AR,-45.8667,-67.5,55.4,62,0,6.91,clear sky
538,Kuzhener,RU,56.8111,48.9128,32.94,80,1,8.48,clear sky
539,Yakeshi,CN,49.2833,120.7333,29.39,87,6,4.63,clear sky
540,Ternate,ID,0.8,127.4,84.33,71,100,12.62,overcast clouds
541,Sinnamary,GF,5.3833,-52.95,78.42,81,75,11.18,broken clouds
542,Bagdarin,RU,54.4333,113.6,42.42,42,100,8.25,overcast clouds
543,Sibolga,ID,1.7427,98.7792,75.43,91,100,2.73,overcast clouds
544,Voznesenye,RU,61.0106,35.4781,28.53,94,7,4.45,clear sky
545,Castro,BR,-24.7911,-50.0119,58.75,93,100,3.27,overcast clouds
546,Shakawe,BW,-18.3667,21.85,58.68,40,24,5.39,few clouds
547,Joshimath,IN,30.5667,79.5667,52.18,91,100,2.06,overcast clouds
548,Dorado,PR,18.4588,-66.2677,78.01,89,13,8.72,few clouds
549,Inuvik,CA,68.3499,-133.7218,35.6,55,100,3.44,overcast clouds
550,Kavaratti,IN,10.5669,72.642,83.71,72,5,4.94,clear sky
551,Alanya,TR,36.5438,31.9998,57.2,77,0,3.44,clear sky
552,Kimbe,PG,-5.5502,150.1429,81.27,82,99,4.03,light rain
553,Hualmay,PE,-11.0964,-77.6139,67.37,85,95,8.28,overcast clouds
554,Khuzdar,PK,27.7384,66.6434,68.2,28,0,3.71,clear sky
555,Tarko-Sale,RU,64.9225,77.785,16.0,71,99,1.99,snow
556,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,41.0,75,100,0.27,overcast clouds
557,Vidim,RU,56.4088,103.1106,34.23,79,100,8.63,overcast clouds
558,Tineo,ES,43.3376,-6.4145,42.8,61,0,5.75,clear sky
559,Belfast,GB,54.5833,-5.9333,39.2,87,67,3.44,broken clouds
560,Ayan,RU,56.45,138.1667,30.24,83,18,5.55,few clouds
561,Moctezuma,MX,29.8,-109.6667,72.14,16,71,9.69,broken clouds
562,Vermilion,US,40.1667,-87.7506,53.01,54,40,6.91,scattered clouds
563,Porto Novo,BJ,6.4965,2.6036,82.4,78,20,6.91,few clouds
564,Neryungri,RU,56.6709,124.6491,35.64,75,29,12.68,scattered clouds
565,Itarema,BR,-2.9248,-39.9167,77.92,87,94,10.29,overcast clouds
566,Price,US,39.5994,-110.8107,39.2,41,1,13.8,clear sky
567,Bograd,RU,54.2344,90.8328,35.6,75,40,17.9,light snow
568,Anadyr,RU,64.75,177.4833,35.6,80,0,24.61,clear sky
569,Lethem,GY,3.3803,-59.7968,76.89,82,99,6.2,overcast clouds
570,Camana,PE,-16.6228,-72.7111,67.87,84,23,7.58,few clouds
571,Awjilah,LY,29.1081,21.2869,82.6,13,1,14.32,clear sky
572,Wichita Falls,US,33.9137,-98.4934,53.6,71,90,14.97,overcast clouds
573,Russell,US,32.3502,-85.1999,60.8,88,75,1.81,broken clouds
574,Kochubey,RU,44.3861,46.5825,53.28,57,93,7.54,overcast clouds
575,Zunyi,CN,27.6867,106.9072,56.1,85,100,3.02,overcast clouds
576,Jacqueville,CI,5.2052,-4.4146,82.4,89,40,3.44,light rain
577,Stepnyak,KZ,52.8339,70.7803,37.06,76,67,11.07,broken clouds
578,Lagoa,PT,39.05,-27.9833,61.86,94,100,11.77,overcast clouds
579,Sulangan,PH,11.1373,123.7228,81.59,79,100,13.58,overcast clouds
580,Udachnyy,RU,66.4167,112.4,10.09,92,97,29.51,light snow
581,Gombe,NG,10.2897,11.1673,81.68,49,100,6.29,overcast clouds
582,Phan Thiet,VN,10.9333,108.1,84.81,65,94,2.73,overcast clouds
583,Salinas,US,36.6777,-121.6555,55.0,76,20,11.5,few clouds
584,Brae,GB,60.3964,-1.353,43.07,86,100,12.03,overcast clouds
